,level_0,index,cast,cast_count,jk_score_mean,jk_score,movie,rank
0,614,614,Philip Seymour Hoffman,10,7.0,"5, 5, 8, 8, 7, 8, 7, 7, 8, 7","The Hunger Games: Mockingjay Part I, The Hunger Games: Mockingjay Part Ii, The Ides Of March, The Big Lebowski, Moneyball, Magnolia, 25Th Hour, The Master, The Talented Mr. Ripley, A Most Wanted Man",1
1,175,175,Brad Pitt,9,7.2,"7, 5, 7, 8, 9, 7, 7, 7, 8","Ad Astra, World War Z, Moneyball, The Assassination Of Jesse James By The Coward Robert Ford, Sleepers, Spy Game, Killing Them Softly, Burn After Reading, The Curious Case Of Benjamin Button",2
2,45,45,Matt Damon,8,7.5,"7, 7, 7, 9, 9, 6, 7, 8","The Informant!, True Grit, The Rainmaker, The Departed, Ford V Ferrari, Contagion, The Bourne Identity, The Talented Mr. Ripley",3
3,2828,2828,Oscar Isaac,8,7.5,"8, 8, 8, 9, 6, 7, 7, 7","Ex Machina, Drive, The Card Counter, Dune, The Two Faces Of January, Inside Llewyn Davis, A Most Violent Year, Body Of Lies",4
4,523,523,Woody Harrelson,8,6.6,"7, 5, 5, 8, 8, 9, 5, 6","The Hunger Games: Catching Fire, The Hunger Games: Mockingjay Part I, The Hunger Games: Mockingjay Part Ii, No Country For Old Men, Seven Pounds, Three Billboards Outside Ebbing Missouri, The Highwaymen, Austin Powers: The Spy Who Shagged Me",5
5,119,119,Ryan Gosling,7,8.1,"8, 9, 7, 8, 8, 8, 9","Fracture, La La Land, Nice Guys, The Ides Of March, Drive, The Gray Man, The Place Beyond The Pines",6
6,103,103,Robert De Niro,7,7.7,"8, 8, 6, 7, 9, 7, 9","The Irishman, Heat, 15 Minutes, The Untouchables, Sleepers, Taxi Driver, The Godfather Part 2",7
7,432,432,Christoph Waltz,7,7.7,"7, 8, 9, 9, 7, 7, 7","Big Eyes, Water For Elephants, Alita: Battle Angel, Django Unchained, No Time To Die, The French Dispatch, Qt8 The First Eight",8
8,615,615,Julianne Moore,7,7.1,"5, 5, 8, 8, 7, 8, 9","The Hunger Games: Mockingjay Part I, The Hunger Games: Mockingjay Part Ii, The Big Lebowski, Kingsman: The Golden Circle, Non-Stop, Magnolia, Children Of Men",9
9,306,306,Josh Brolin,7,7.0,"7, 7, 8, 6, 6, 6, 9","True Grit, Sicario, No Country For Old Men, Sicario Day Of The Soldado, Everest, Oldboy (Us), Dune",10
