,level_0,index,cast,cast_m_count,jk_score_mean,jk_score,movie,rank
0,175,175,Brad Pitt,9,7.2,"7, 5, 7, 8, 9, 7, 7, 7, 8","Ad Astra, World War Z, Moneyball, The Assassination Of Jesse James By The Coward Robert Ford, Sleepers, Spy Game, Killing Them Softly, Burn After Reading, The Curious Case Of Benjamin Button",1
1,2828,2828,Oscar Isaac,8,7.5,"8, 8, 8, 9, 6, 7, 7, 7","Ex Machina, Drive, The Card Counter, Dune, The Two Faces Of January, Inside Llewyn Davis, A Most Violent Year, Body Of Lies",2
2,614,614,Philip Seymour Hoffman,8,7.0,"5, 5, 8, 8, 7, 8, 7, 7, 8, 7","The Hunger Games: Mockingjay Part I, The Hunger Games: Mockingjay Part Ii, The Ides Of March, The Big Lebowski, Moneyball, Magnolia, 25Th Hour, The Master, The Talented Mr. Ripley, A Most Wanted Man",3
3,523,523,Woody Harrelson,8,6.6,"7, 5, 5, 8, 8, 9, 5, 6","The Hunger Games: Catching Fire, The Hunger Games: Mockingjay Part I, The Hunger Games: Mockingjay Part Ii, No Country For Old Men, Seven Pounds, Three Billboards Outside Ebbing Missouri, The Highwaymen, Austin Powers: The Spy Who Shagged Me",4
4,103,103,Robert De Niro,7,7.7,"8, 8, 6, 7, 9, 7, 9","The Irishman, Heat, 15 Minutes, The Untouchables, Sleepers, Taxi Driver, The Godfather Part 2",5
5,45,45,Matt Damon,7,7.5,"7, 7, 7, 9, 9, 6, 7, 8","The Informant!, True Grit, The Rainmaker, The Departed, Ford V Ferrari, Contagion, The Bourne Identity, The Talented Mr. Ripley",6
6,306,306,Josh Brolin,7,7.0,"7, 7, 8, 6, 6, 6, 9","True Grit, Sicario, No Country For Old Men, Sicario Day Of The Soldado, Everest, Oldboy (Us), Dune",7
7,307,307,Barry Pepper,7,6.9,"7, 8, 7, 8, 6, 7, 5","True Grit, Seven Pounds, Crawl, The Green Mile, Maze Runner: The Scorch Trials, 25Th Hour, Maze Runner: The Death Cure",8
8,618,618,Jeffrey Wright,7,6.7,"5, 5, 8, 7, 7, 7, 8","The Hunger Games: Mockingjay Part I, The Hunger Games: Mockingjay Part Ii, The Ides Of March, The Laundromat , No Time To Die, The French Dispatch, The Batman",9
9,104,104,Al Pacino,6,8.3,"8, 8, 9, 9, 8, 8","The Irishman, Heat, The Godfather, The Godfather Part 2, The Godfather Part 3, Devil’S Advocate",10
10,346,346,Leonardo DiCaprio,6,7.8,"6, 8, 9, 9, 8, 7","The Revolutionary Road, Blood Diamond, The Departed, Django Unchained, Don’T Look Up, Body Of Lies",11
11,432,432,Christoph Waltz,6,7.7,"7, 8, 9, 9, 7, 7, 7","Big Eyes, Water For Elephants, Alita: Battle Angel, Django Unchained, No Time To Die, The French Dispatch, Qt8 The First Eight",12
12,576,576,Jon Bernthal,6,7.5,"7, 7, 9, 7, 7, 8","Sicario, The Peanut Butter Falcon, Ford V Ferrari, Baby Driver, The Unforgivable, King Richard",13
13,164,164,Tilda Swinton,6,7.2,"9, 6, 6, 7, 8, 7","Snowpiercer, Okja, The Personal History Of David Copperfield, Burn After Reading, The Curious Case Of Benjamin Button, The French Dispatch",14
14,806,806,Frances McDormand,6,7.2,"8, 6, 9, 7, 6, 7","Primal Fear, Nomadland, Three Billboards Outside Ebbing Missouri, Burn After Reading, Fargo, The French Dispatch",15
15,615,615,Julianne Moore,6,7.1,"5, 5, 8, 8, 7, 8, 9","The Hunger Games: Mockingjay Part I, The Hunger Games: Mockingjay Part Ii, The Big Lebowski, Kingsman: The Golden Circle, Non-Stop, Magnolia, Children Of Men",16
16,206,206,Richard Jenkins,6,6.7,"7, 7, 7, 7, 6, 6","Shape Of Water, The Cabin In The Woods, Killing Them Softly, Burn After Reading, Kajillionaire, Nightmare Alley",17
17,766,766,Samuel L. Jackson,6,6.7,"6, 7, 9, 5, 6, 7, 7","The Other Guys, Death To 2020, Django Unchained, Spiral, Oldboy (Us), A Time To Kill, Qt8 The First Eight",18
18,119,119,Ryan Gosling,5,8.1,"8, 9, 7, 8, 8, 8, 9","Fracture, La La Land, Nice Guys, The Ides Of March, Drive, The Gray Man, The Place Beyond The Pines",19
19,76,76,Chris Evans,5,8.0,"8, 9, 6, 8, 9, 8","Knives Out, Snowpiercer, The Red Sea Diving Resort, Scott Pilgrim Vs The World, Sunshine, The Gray Man",20
20,265,265,Mark Strong,5,8.0,"8, 8, 8, 9, 7","Sherlock Holmes, Rocknrolla, Kingsman: The Golden Circle, Sunshine, Body Of Lies",21
21,857,857,Bryan Cranston,5,7.8,"7, 9, 8, 7, 8","Trumbo, Last Flag Flying, Argo, The Upside, Drive",22
22,143,143,Eddie Marsan,5,7.4,"8, 8, 7, 7, 7","The Gentlemen, Sherlock Holmes, Sherlock Holmes: A Game Of Shadows, The Illusionist, Wrath Of Man",23
23,161,161,Kang-ho Song,5,7.4,"9, 8, 5, 8, 7","Snowpiercer, Parasite, The Host, Memories Of Murder, Sympathy For Mr. Vengeance",24
24,191,191,Mahershala Ali,5,7.2,"7, 5, 5, 9, 8, 9","Green Book, The Hunger Games: Mockingjay Part I, The Hunger Games: Mockingjay Part Ii, Alita: Battle Angel, The Curious Case Of Benjamin Button, The Place Beyond The Pines",25
25,75,75,Daniel Craig,5,6.8,"8, 7, 6, 6, 7","Knives Out, Capote, Dream House, The Jacket, No Time To Die",26
26,559,559,Adam Driver,5,6.8,"8, 6, 5, 8, 7","Marriage Story, Blackkklansman, Paterson, The Report, Inside Llewyn Davis",27
27,934,934,Jon Hamm,5,6.8,"7, 8, 6, 7, 6","The Town, The Report, Top Gun, Baby Driver, No Sudden Move",28
28,1392,1392,Patricia Clarkson,5,6.8,"8, 7, 8, 6, 5","The Maze Runner, The Untouchables, The Green Mile, Maze Runner: The Scorch Trials, Maze Runner: The Death Cure",29
29,33,33,Lily James,5,6.6,"7, 8, 6, 5, 7","Darkest Hour, Yesterday, Rebecca, Sorry To Bother You, Baby Driver",30
30,519,519,Jennifer Lawrence,5,6.4,"7, 5, 5, 7, 8","The Hunger Games: Catching Fire, The Hunger Games: Mockingjay Part I, The Hunger Games: Mockingjay Part Ii, American Hustle, Don’T Look Up",31
31,178,178,Donald Sutherland,5,6.2,"7, 7, 5, 5, 7","Ad Astra, The Hunger Games: Catching Fire, The Hunger Games: Mockingjay Part I, The Hunger Games: Mockingjay Part Ii, A Time To Kill",32
32,1058,1058,Naomi Watts,5,6.2,"6, 6, 7, 5, 7","Dream House, The International, Luce, Penguin Bloom, Fair Game",33
33,336,336,Stanley Tucci,5,6.0,"7, 7, 5, 5, 6","Spotlight, The Hunger Games: Catching Fire, The Hunger Games: Mockingjay Part I, The Hunger Games: Mockingjay Part Ii, The King’S Man",34
34,2590,2590,Diane Keaton,4,8.2,"7, 9, 9, 8","Book Club, The Godfather, The Godfather Part 2, The Godfather Part 3",35
35,554,554,J.K. Simmons,4,8.0,"9, 8, 7, 8","La La Land, Palm Springs, Burn After Reading, 21 Bridges",36
36,820,820,Sam Rockwell,4,8.0,"7, 8, 8, 9","Jojo Rabbit, The Assassination Of Jesse James By The Coward Robert Ford, The Green Mile, Three Billboards Outside Ebbing Missouri",37
37,52,52,Melanie Lynskey,4,7.8,"7, 7, 9, 8","The Informant!, Away We Go, The Perks Of Being A Wallflower, Don’T Look Up",38
38,935,935,Jeremy Renner,4,7.8,"7, 8, 7, 9","The Town, The Assassination Of Jesse James By The Coward Robert Ford, American Hustle, Arrival",39
39,2611,2611,Eiza González,4,7.8,"9, 7, 8, 7","Alita: Battle Angel, Baby Driver, I Care A Lot, Godzilla Vs Kong",40
40,263,263,Jude Law,4,7.6,"8, 7, 9, 6, 8","Sherlock Holmes, Sherlock Holmes: A Game Of Shadows, King Arthur: Legend Of The Sword, Contagion, The Talented Mr. Ripley",41
41,124,124,Cliff Curtis,4,7.5,"8, 8, 5, 9","Fracture, Doctor Sleep, The Meg, Sunshine",42
42,207,207,Michael Stuhlbarg,4,7.5,"7, 7, 7, 9","Shape Of Water, Trumbo, Steve Jobs, Arrival",43
43,333,333,Liev Schreiber,4,7.5,"7, 8, 7, 8","Spotlight, Scream (1996), Scream 2, King Richard",44
44,417,417,Helena Bonham Carter,4,7.5,"8, 9, 6, 7","King'S Speech, Big Fish, Enola Holmes, Ocean’S 8",45
45,431,431,Amy Adams,4,7.5,"7, 7, 9, 7","Big Eyes, American Hustle, Arrival, The Master",46
46,162,162,Ed Harris,4,7.4,"9, 6, 6, 8, 8","Snowpiercer, Run All Night, Top Gun, The Lost Daughter, Gravity",47
47,3146,3146,Cate Blanchett,4,7.4,"8, 8, 7, 6, 8","The Curious Case Of Benjamin Button, Don’T Look Up, Ocean’S 8, Nightmare Alley, The Talented Mr. Ripley",48
48,1439,1439,Bradley Cooper,4,7.3,"7, 7, 8, 6, 9, 7","A Star Is Born, American Hustle, War Dogs, Nightmare Alley, The Place Beyond The Pines, Thor: Love And Thunder",49
49,264,264,Rachel McAdams,4,7.2,"8, 7, 7, 7, 7","Sherlock Holmes, Spotlight, State Of Play, Sherlock Holmes: A Game Of Shadows, A Most Wanted Man",50
50,478,478,Sandra Bullock,4,7.2,"7, 7, 7, 7, 8","Capote, The Unforgivable, A Time To Kill, Ocean’S 8, Gravity",51
51,619,619,Russell Crowe,4,7.2,"7, 7, 8, 7, 7","Nice Guys, State Of Play, L.A. Confidential, Body Of Lies, Thor: Love And Thunder",52
52,697,697,Djimon Hounsou,4,7.2,"8, 9, 6, 6","Blood Diamond, King Arthur: Legend Of The Sword, A Quiet Place Part 2, The King’S Man",53
53,739,739,Ben Affleck,4,7.2,"7, 7, 7, 8","State Of Play, The Town, The Way Back, Argo",54
54,866,866,Jason Bayle,4,7.2,"7, 7, 8, 7","Trumbo, Happy Death Day 2U, Our Friend, Happy Death Day",55
55,1056,1056,Tate Donovan,4,7.2,"7, 8, 7, 7","Rocketman, Argo, The Upside, Manchester By The Sea",56
56,1135,1135,Carey Mulligan,4,7.2,"7, 7, 8, 7","Mudbound, Promising Young Woman, Drive, Inside Llewyn Davis",57
57,1233,1233,Mark Rylance,4,7.2,"7, 7, 8, 7","Ready Player One, Dunkirk, Don’T Look Up, The Trial Of Chicago 7",58
58,1528,1528,Casey Affleck,4,7.2,"6, 8, 7, 8","The Old Man & The Gun, The Assassination Of Jesse James By The Coward Robert Ford, Manchester By The Sea, Our Friend",59
59,114,114,Jesse Plemons,4,7.0,"8, 7, 6, 7","The Irishman, The Master, The Power Of The Dog, Windfall",60
60,120,120,David Strathairn,4,7.0,"8, 8, 6, 6, 7","Fracture, L.A. Confidential, Nomadland, Nightmare Alley, Where The Crawdads Sing",61
61,141,141,Hugh Grant,4,7.0,"8, 7, 7, 6","The Gentlemen, The Man From U.N.C.L.E., Death To 2020, Death To 2021",62
62,221,221,Cillian Murphy,4,7.0,"6, 6, 7, 9","Anna, A Quiet Place Part 2, Dunkirk, Sunshine",63
63,482,482,Jeff Daniels,4,7.0,"7, 7, 7, 7","Capote, State Of Play, Steve Jobs, Away We Go",64
64,674,674,Kevin Costner,4,7.0,"9, 7, 7, 5","Molly’S Game, Mr. Brooks, The Untouchables, The Highwaymen",65
65,1709,1709,Laurence Fishburne,4,7.0,"9, 7, 6, 6","Last Flag Flying, Death To 2020, Contagion, Apocalypse Now",66
66,332,332,Michael Keaton,4,6.8,"7, 6, 7, 7","Spotlight, The Other Guys, The Founder, The Trial Of Chicago 7",67
67,659,659,Alec Baldwin,4,6.8,"6, 5, 7, 9","Blackkklansman, Motherless Brooklyn, A Star Is Born, The Departed",68
68,1561,1561,Robert Pattinson,4,6.8,"6, 8, 5, 8","The Devil All The Time, Water For Elephants, Tenet, The Batman",69
69,1946,1946,Alessandro Nivola,4,6.8,"6, 7, 7, 7","The Red Sea Diving Resort, American Hustle, The Art Of Self-Defense, A Most Violent Year",70
70,150,150,Willem Dafoe,4,6.6,"7, 5, 8, 6, 7","Inside Man, Motherless Brooklyn, The Card Counter, Nightmare Alley, A Most Wanted Man",71
71,740,740,Robin Wright,4,6.6,"7, 7, 6, 6, 7","State Of Play, Moneyball, Everest, Wonder Woman 1984, A Most Wanted Man",72
72,85,85,Jaeden Martell,4,6.5,"8, 6, 7, 5","Knives Out, The Lodge, It, It Chapter 2",73
73,575,575,Benicio Del Toro,4,6.5,"7, 6, 6, 7","Sicario, Sicario Day Of The Soldado, No Sudden Move, The French Dispatch",74
74,1386,1386,Kaya Scodelario,4,6.5,"8, 7, 6, 5","The Maze Runner, Crawl, Maze Runner: The Scorch Trials, Maze Runner: The Death Cure",75
75,2223,2223,Miles Teller,4,6.5,"6, 6, 8, 6","Project X, Top Gun, War Dogs, Spiderhead",76
76,948,948,Jake Gyllenhaal,4,6.2,"7, 6, 6, 6","Prisoners, Okja, Everest, The Guilty",77
77,1123,1123,Armie Hammer,4,6.2,"7, 6, 5, 7","The Man From U.N.C.L.E., Rebecca, Sorry To Bother You, Death On The Nile",78
78,1262,1262,Keira Knightley,4,6.2,"7, 6, 6, 6","Atonement, The Jacket, Everest, Silent Night",79
79,1541,1541,John Carroll Lynch,4,6.2,"7, 5, 6, 7","The Founder, The Highwaymen, Fargo, The Trial Of Chicago 7",80
80,82,82,LaKeith Stanfield,4,6.0,"8, 6, 5, 5","Knives Out, Uncut Gems, Sorry To Bother You, The Purge: Anarchy",81
81,520,520,Liam Hemsworth,4,6.0,"7, 5, 5, 7","The Hunger Games: Catching Fire, The Hunger Games: Mockingjay Part I, The Hunger Games: Mockingjay Part Ii, Triangle",82
82,1214,1214,Ewan McGregor,3,8.7,"8, 9, 9","Doctor Sleep, Big Fish, Moulin Rouge",83
83,2641,2641,Talia Shire,3,8.7,"9, 9, 8","The Godfather, The Godfather Part 2, The Godfather Part 3",84
84,2649,2649,Richard Bright,3,8.7,"9, 9, 8","The Godfather, The Godfather Part 2, The Godfather Part 3",85
85,343,343,Billy Crudup,3,8.3,"7, 9, 9","Spotlight, Big Fish, Sleepers",86
86,80,80,Don Johnson,3,8.0,"8, 7, 9","Knives Out, Book Club, Django Unchained",87
87,118,118,Anthony Hopkins,3,8.0,"8, 8, 8","Fracture, The Two Popes, The Father",88
88,135,135,Jeremy Strong,3,8.0,"8, 9, 7","The Gentlemen, Molly’S Game, The Trial Of Chicago 7",89
89,233,233,Himesh Patel,3,8.0,"8, 8, 8","Yesterday, The Aeronauts, Don’T Look Up",90
90,292,292,Colin Firth,3,8.0,"8, 8, 8","1917, King'S Speech, Kingsman: The Golden Circle",91
91,446,446,Javier Bardem,3,8.0,"7, 8, 9","Sea Inside, No Country For Old Men, Dune",92
92,1723,1723,Eric Bana,3,8.0,"7, 9, 8","The Dry, King Arthur: Legend Of The Sword, Chopper",93
93,2635,2635,Robert Duvall,3,8.0,"9, 6, 9","The Godfather, Apocalypse Now, The Godfather Part 2",94
94,3230,3230,Timothée Chalamet,3,8.0,"8, 7, 9","Don’T Look Up, The French Dispatch, Dune",95
95,77,77,Ana de Armas,3,7.8,"8, 8, 7, 8","Knives Out, War Dogs, No Time To Die, The Gray Man",96
96,23,23,Jeffrey DeMunn,3,7.7,"8, 8, 7","Shawshank Redemption, The Green Mile, Burn After Reading",97
97,166,166,Octavia Spencer,3,7.7,"9, 7, 7","Snowpiercer, Shape Of Water, Luce",98
98,176,176,Tommy Lee Jones,3,7.7,"7, 8, 8","Ad Astra, Double Jeopardy, No Country For Old Men",99
99,304,304,Jeff Bridges,3,7.7,"7, 8, 8","True Grit, The Big Lebowski, Kingsman: The Golden Circle",100
100,363,363,Victor Garber,3,7.7,"8, 7, 8","Dark Waters, Sicario, Argo",101
101,388,388,Idris Elba,3,7.7,"6, 8, 9","The Dark Tower, Rocknrolla, Molly’S Game",102
102,551,551,Jessica Rothe,3,7.7,"9, 7, 7","La La Land, Happy Death Day 2U, Happy Death Day",103
103,633,633,Nicole Kidman,3,7.7,"7, 9, 7","Secret In Their Eyes, Moulin Rouge, The Upside",104
104,698,698,Jennifer Connelly,3,7.7,"8, 9, 6","Blood Diamond, Alita: Battle Angel, Top Gun",105
105,994,994,Ashley Judd,3,7.7,"8, 8, 7","Heat, Double Jeopardy, A Time To Kill",106
106,1317,1317,John Goodman,3,7.7,"8, 8, 7","The Big Lebowski, Argo, Inside Llewyn Davis",107
107,1318,1318,Steve Buscemi,3,7.7,"8, 9, 6","The Big Lebowski, Big Fish, Fargo",108
108,1515,1515,Dakota Johnson,3,7.7,"7, 8, 8","The Peanut Butter Falcon, Our Friend, The Lost Daughter",109
109,1628,1628,Paul Schneider,3,7.7,"8, 8, 7","Water For Elephants, The Assassination Of Jesse James By The Coward Robert Ford, Away We Go",110
110,1994,1994,Chris Messina,3,7.7,"8, 7, 8","Argo, Away We Go, I Care A Lot",111
111,1996,1996,Jonah Hill,3,7.7,"7, 8, 8","Moneyball, War Dogs, Don’T Look Up",112
112,2737,2737,Choi Min-sik,3,7.7,"8, 7, 8","Oldboy, Lady Vengeance, I Saw The Devil",113
113,32,32,Ben Mendelsohn,3,7.5,"7, 7, 7, 9","Darkest Hour, Ready Player One, Killing Them Softly, The Place Beyond The Pines",114
114,15,15,Tim Robbins,3,7.3,"8, 8, 6","Shawshank Redemption, Dark Waters, Austin Powers: The Spy Who Shagged Me",115
115,79,79,Michael Shannon,3,7.3,"8, 7, 7","Knives Out, Shape Of Water, 8 Mile",116
116,174,174,Steve Park,3,7.3,"9, 6, 7","Snowpiercer, Fargo, The French Dispatch",117
117,331,331,Mark Ruffalo,3,7.3,"7, 8, 7","Spotlight, Dark Waters, Eternal Sunshine Of The Spotless Mind",118
118,435,435,Jason Schwartzman,3,7.3,"7, 8, 7","Big Eyes, Scott Pilgrim Vs The World, The French Dispatch",119
119,630,630,Kim Basinger,3,7.3,"7, 7, 8","Nice Guys, 8 Mile, L.A. Confidential",120
120,689,689,Bo Burnham,3,7.3,"7, 7, 8","The Big Sick, Promising Young Woman, Bo Burnham Inside",121
121,1101,1101,Jared Harris,3,7.3,"7, 7, 8","Sherlock Holmes: A Game Of Shadows, The Man From U.N.C.L.E., The Curious Case Of Benjamin Button",122
122,1138,1138,Rob Morgan,3,7.3,"7, 7, 8","Mudbound, The Unforgivable, Don’T Look Up",123
123,1830,1830,Kevin Spacey,3,7.3,"8, 7, 7","L.A. Confidential, Baby Driver, A Time To Kill",124
124,1902,1902,Andy Garcia,3,7.3,"7, 7, 8","The Untouchables, Book Club, The Godfather Part 3",125
125,1989,1989,Scoot McNairy,3,7.3,"8, 7, 7","Argo, Killing Them Softly, Non-Stop",126
126,1993,1993,Kyle Chandler,3,7.3,"8, 7, 7","Argo, Manchester By The Sea, Godzilla Vs Kong",127
