Name,Award,Outcome,Year
F1,Oscar Best Picture,Nominee,2025
Frankenstein,Oscar Best Picture,Nominee,2025
Hamnet,Oscar Best Picture,Nominee,2025
The Secret Agent,Oscar Best Picture,Nominee,2025
It Was Just an Accident,Palme d’Or,,2025
Sentimental Value,Oscar Best Picture,Nominee,2025
One Battle After Another,Oscar Best Picture,Winner,2025
Marty Supreme,Oscar Best Picture,Nominee,2025
Sinners,Oscar Best Picture,Nominee,2025
Bugonia,Oscar Best Picture,Nominee,2025
Train Dreams,Oscar Best Picture,Nominee,2025
A Complete Unknown,Oscar Best Picture,Nominee,2024
Conclave,Oscar Best Picture,Nominee,2024
The Substance,Oscar Best Picture,Nominee,2024
Emilia Pérez,Oscar Best Picture,Nominee,2024
Nickel Boys,Oscar Best Picture,Nominee,2024
Anora,Palme d’Or,,2024
Dune: Part Two,Oscar Best Picture,Nominee,2024
Anora,Oscar Best Picture,Winner,2024
I'm Still Here,Oscar Best Picture,Nominee,2024
Wicked,Oscar Best Picture,Nominee,2024
The Brutalist,Oscar Best Picture,Nominee,2024
Maestro,Oscar Best Picture,Nominee,2023
Barbie,Oscar Best Picture,Nominee,2023
Killers of the Flower Moon,Oscar Best Picture,Nominee,2023
Oppenheimer,Oscar Best Picture,Winner,2023
American Fiction,Oscar Best Picture,Nominee,2023
Anatomy of a Fall,Oscar Best Picture,Nominee,2023
Past Lives,Oscar Best Picture,Nominee,2023
The Holdovers,Oscar Best Picture,Nominee,2023
Poor Things,Oscar Best Picture,Nominee,2023
Anatomy of a Fall,Palme d’Or,,2023
The Zone of Interest,Oscar Best Picture,Nominee,2023
Women Talking,Oscar Best Picture,Nominee,2022
The Banshees of Inisherin,Oscar Best Picture,Nominee,2022
Elvis,Oscar Best Picture,Nominee,2022
All Quiet on the Western Front,Oscar Best Picture,Nominee,2022
Triangle of Sadness,Oscar Best Picture,Nominee,2022
Tár,Oscar Best Picture,Nominee,2022
The Fabelmans,Oscar Best Picture,Nominee,2022
Everything Everywhere All at Once,Oscar Best Picture,Winner,2022
Top Gun: Maverick,Oscar Best Picture,Nominee,2022
Triangle of Sadness,Palme d’Or,,2022
Avatar: The Way of Water,Oscar Best Picture,Nominee,2022
Dune: Part One,Oscar Best Picture,Nominee,2021
Belfast,Oscar Best Picture,Nominee,2021
Licorice Pizza,Oscar Best Picture,Nominee,2021
The Power of the Dog,Oscar Best Picture,Nominee,2021
Nightmare Alley,Oscar Best Picture,Nominee,2021
West Side Story,Oscar Best Picture,Nominee,2021
Don't Look Up,Oscar Best Picture,Nominee,2021
CODA,Oscar Best Picture,Winner,2021
King Richard,Oscar Best Picture,Nominee,2021
Drive My Car,Oscar Best Picture,Nominee,2021
Titane,Palme d’Or,,2021
Minari,Oscar Best Picture,Nominee,2020
Nomadland,Oscar Best Picture,Winner,2020
Judas and the Black Messiah,Oscar Best Picture,Nominee,2020
Sound of Metal,Oscar Best Picture,Nominee,2020
Mank,Oscar Best Picture,Nominee,2020
The Father,Oscar Best Picture,Nominee,2020
The Trial of the Chicago 7,Oscar Best Picture,Nominee,2020
Promising Young Woman,Oscar Best Picture,Nominee,2020
Joker,Oscar Best Picture,Nominee,2019
Jojo Rabbit,Oscar Best Picture,Nominee,2019
Marriage Story,Oscar Best Picture,Nominee,2019
Parasite,Oscar Best Picture,Winner,2019
The Irishman,Oscar Best Picture,Nominee,2019
Little Women,Oscar Best Picture,Nominee,2019
Once Upon a Time in Hollywood,Oscar Best Picture,Nominee,2019
1917,Oscar Best Picture,Nominee,2019
Parasite,Palme d’Or,,2019
Ford v Ferrari,Oscar Best Picture,Nominee,2019
BlacKkKlansman,Oscar Best Picture,Nominee,2018
Bohemian Rhapsody,Oscar Best Picture,Nominee,2018
Green Book,Oscar Best Picture,Winner,2018
The Favourite,Oscar Best Picture,Nominee,2018
Black Panther,Oscar Best Picture,Nominee,2018
Roma,Oscar Best Picture,Nominee,2018
A Star Is Born,Oscar Best Picture,Nominee,2018
Vice,Oscar Best Picture,Nominee,2018
Shoplifters,Palme d’Or,,2018
Darkest Hour,Oscar Best Picture,Nominee,2017
Three Billboards Outside Ebbing Missouri,Oscar Best Picture,Nominee,2017
Get Out,Oscar Best Picture,Nominee,2017
Dunkirk,Oscar Best Picture,Nominee,2017
Phantom Thread,Oscar Best Picture,Nominee,2017
The Post,Oscar Best Picture,Nominee,2017
The Shape of Water,Oscar Best Picture,Winner,2017
The Square,Palme d’Or,,2017
Lady Bird,Oscar Best Picture,Nominee,2017
Call Me by Your Name,Oscar Best Picture,Nominee,2017
Manchester by the Sea,Oscar Best Picture,Nominee,2016
Hacksaw Ridge,Oscar Best Picture,Nominee,2016
Fences,Oscar Best Picture,Nominee,2016
Arrival,Oscar Best Picture,Nominee,2016
Hidden Figures,Oscar Best Picture,Nominee,2016
La La Land,Oscar Best Picture,Nominee,2016
Moonlight,Oscar Best Picture,Winner,2016
"I, Daniel Blake",Palme d’Or,,2016
Hell or High Water,Oscar Best Picture,Nominee,2016
Lion,Oscar Best Picture,Nominee,2016
Dheepan,Palme d’Or,,2015
Mad Max: Fury Road,Oscar Best Picture,Nominee,2015
Spotlight,Oscar Best Picture,Winner,2015
The Martian,Oscar Best Picture,Nominee,2015
Room,Oscar Best Picture,Nominee,2015
The Big Short,Oscar Best Picture,Nominee,2015
Bridge of Spies,Oscar Best Picture,Nominee,2015
The Revenant,Oscar Best Picture,Nominee,2015
Brooklyn,Oscar Best Picture,Nominee,2015
The Imitation Game,Oscar Best Picture,Nominee,2014
Winter Sleep,Palme d’Or,,2014
The Grand Budapest Hotel,Oscar Best Picture,Nominee,2014
Birdman,Oscar Best Picture,Winner,2014
Boyhood,Oscar Best Picture,Nominee,2014
American Sniper,Oscar Best Picture,Nominee,2014
Selma,Oscar Best Picture,Nominee,2014
The Theory of Everything,Oscar Best Picture,Nominee,2014
Whiplash,Oscar Best Picture,Nominee,2014
Her,Oscar Best Picture,Nominee,2013
Dallas Buyers Club,Oscar Best Picture,Nominee,2013
The Wolf of Wall Street,Oscar Best Picture,Nominee,2013
Nebraska,Oscar Best Picture,Nominee,2013
Philomena,Oscar Best Picture,Nominee,2013
American Hustle,Oscar Best Picture,Nominee,2013
Gravity,Oscar Best Picture,Nominee,2013
Captain Phillips,Oscar Best Picture,Nominee,2013
12 Years a Slave,Oscar Best Picture,Winner,2013
Blue Is the Warmest Color,Palme d’Or,,2013
Lincoln,Oscar Best Picture,Nominee,2012
Beasts of the Southern Wild,Oscar Best Picture,Nominee,2012
Amour,Oscar Best Picture,Nominee,2012
Les Misérables,Oscar Best Picture,Nominee,2012
Silver Linings Playbook,Oscar Best Picture,Nominee,2012
Django Unchained,Oscar Best Picture,Nominee,2012
Amour,Palme d’Or,,2012
Zero Dark Thirty,Oscar Best Picture,Nominee,2012
Life of Pi,Oscar Best Picture,Nominee,2012
Argo,Oscar Best Picture,Winner,2012
Moneyball,Oscar Best Picture,Nominee,2011
The Tree of Life,Oscar Best Picture,Nominee,2011
The Help,Oscar Best Picture,Nominee,2011
Extremely Loud & Incredibly Close,Oscar Best Picture,Nominee,2011
War Horse,Oscar Best Picture,Nominee,2011
The Artist,Oscar Best Picture,Winner,2011
The Descendants,Oscar Best Picture,Nominee,2011
The Tree of Life,Palme d’Or,,2011
Midnight in Paris,Oscar Best Picture,Nominee,2011
Hugo,Oscar Best Picture,Nominee,2011
Black Swan,Oscar Best Picture,Nominee,2010
127 Hours,Oscar Best Picture,Nominee,2010
The Fighter,Oscar Best Picture,Nominee,2010
Inception,Oscar Best Picture,Nominee,2010
True Grit,Oscar Best Picture,Nominee,2010
The King's Speech,Oscar Best Picture,Winner,2010
Toy Story 3,Oscar Best Picture,Nominee,2010
The Kids Are All Right,Oscar Best Picture,Nominee,2010
Uncle Boonmee Who Can Recall His Past Lives,Palme d’Or,,2010
The Social Network,Oscar Best Picture,Nominee,2010
Winter's Bone,Oscar Best Picture,Nominee,2010
The Blind Side,Oscar Best Picture,Nominee,2009
The White Ribbon,Palme d’Or,Winner,2009
Avatar,Oscar Best Picture,Nominee,2009
The Hurt Locker,Oscar Best Picture,Winner,2009
An Education,Oscar Best Picture,Nominee,2009
Inglourious Basterds,Oscar Best Picture,Nominee,2009
Up in the Air,Oscar Best Picture,Nominee,2009
Up,Oscar Best Picture,Nominee,2009
A Serious Man,Oscar Best Picture,Nominee,2009
District 9,Oscar Best Picture,Nominee,2009
Precious,Oscar Best Picture,Nominee,2009
The Curious Case of Benjamin Button,Oscar Best Picture,Nominee,2008
Slumdog Millionaire,Oscar Best Picture,Winner,2008
Frost/Nixon,Oscar Best Picture,Nominee,2008
Milk,Oscar Best Picture,Nominee,2008
The Reader,Oscar Best Picture,Nominee,2008
The Class,Palme d’Or,Winner,2008
Michael Clayton,Oscar Best Picture,Nominee,2007
Juno,Oscar Best Picture,Nominee,2007
No Country for Old Men,Oscar Best Picture,Winner,2007
Atonement,Oscar Best Picture,Nominee,2007
There Will Be Blood,Oscar Best Picture,Nominee,2007
The Class,Palme d’Or,Winner,2007
The Queen,Oscar Best Picture,Nominee,2006
"4 Months, 3 Weeks and 2 Days",Palme d’Or,Winner,2006
The Departed,Oscar Best Picture,Winner,2006
Babel,Oscar Best Picture,Nominee,2006
Letters from Iwo Jima,Oscar Best Picture,Nominee,2006
Little Miss Sunshine,Oscar Best Picture,Nominee,2006
Hamnet,Golden Globe Best Motion Picture – Drama,Winner,2025
