Date,Name,Year,JK Rating,IMDB Rating,Runtime,Genre1,Genre2,Genre3,Genre4,Genre5,Director1,Director2,Director3,Writer1,Writer2,Writer3,Cast1,Cast2,Cast3,Cast4,Cast5,Cast6,Cast7,Cast8,Cast9,Cast10,Cast11,Cast12,Cast13,Cast14,Cast15
?,Whiplash,2014,8,8.5,106,Drama,,,,,Damien Chazelle,,,Damien Chazelle,,,Miles Teller,J.K. Simmons,Paul Reiser,Melissa Benoist,,,,,,,,,,,
?,Once Upon a Time in Hollywood,2019,6,7.6,161,Comedy,Drama,,,,Quentin Tarantino,,,Quentin Tarantino,,,Leonardo DiCaprio,Brad Pitt,Margot Robbie,Emile Hirsch,Margaret Qualley,Timothy Olyphant,Julia Butters,Austin Butler,Dakota Fanning,Bruce Dern,Mike Moh,Luke Perry,Damian Lewis,Al Pacino,Nicholas Hammond
?,Joker,2019,6,8.3,122,Thriller,Crime,Drama,,,,Todd Phillips,,Todd Phillips,Scott Silver,,Joaquin Phoenix,Robert De Niro,Zazie Beetz,Frances Conroy,Brett Cullen,Shea Whigham,Bill Camp,Glenn Fleshler,Leigh Gill,Josh Pais,Marc Maron,Sondra James,Barry O'Donnell,Douglas Hodge,
?,Avatar,2009,7,7.9,162,Action,Adventure,Fantasy,Sci-Fi,,James Cameron,,,James Cameron,,,Sam Worthington,Zoe Saldaña,Sigourney Weaver,Stephen Lang,Michelle Rodriguez,Giovanni Ribisi,Joel David Moore,CCH Pounder,Wes Studi,Laz Alonso,Matt Gerald,Sean Anthony Moran,Jason Whyte,Scott Lawrence,Kelly Kilgour
?,Vice,2018,8,7.2,132,Biography,Comedy,Drama,History,Satire,Adam McKay,,,Adam McKay,,,Christian Bale,Amy Adams,Steve Carell,Sam Rockwell,Alison Pill,Jesse Plemons,Tyler Perry,Lily Rabe,Eddie Marsan,Justin Kirk,LisaGay Hamilton,,,,
?,Bohemian Rhapsody,2018,6,7.9,134,Biography,Drama,Music,,,Bryan Singer,Dexter Fletcher,,Anthony McCarten,Peter Morgan,,Rami Malek,Lucy Boynton,Gwilym Lee,Ben Hardy,Joseph Mazzello,Aidan Gillen,Allen Leech,Tom Hollander,Mike Myers,Aaron McCusker,,,,,
?,Mad Max: Fury Road,2015,9,8.1,120,,,,,,George Miller,,,Brendan McCarthy,Nick Lathouris,,Tom Hardy,Charlize Theron,Nicholas Hoult,Hugh Keays-Byrne,Josh Helman,Nathan Jones,Zoë Kravitz,Rosie Huntington-Whiteley,Riley Keough,Abbey Lee,Courtney Eaton,John Howard,Richard Carter,Iota,Angus Sampson
?,The Martian,2015,8,8.0,144,,,,,,Ridley Scott,,,Andy Weir,,,Matt Damon,Jessica Chastain,Kristen Wiig,Jeff Daniels,Michael Peña,Sean Bean,Kate Mara,Sebastian Stan,Aksel Hennie,Chiwetel Ejiofor,Benedict Wong,Mackenzie Davis,Donald Glover,Nick Mohammed,
?,The Big Short,2015,9,7.8,130,,,,,,Adam McKay,,,Adam McKay,Michael Lewis,,Christian Bale,Steve Carell,Ryan Gosling,Rudy Eisenzopf,Casey Groves,Charlie Talbert,Harold Gervais,Maria Frangos,Hunter Burke,Bernard Hocke,Shauna Rappold,Brandon Stacy,Aiden Flowers,Peter Epstein,
?,Bridge of Spies,2015,8,7.6,142,,,,,,Steven Spielberg,,,Ethan Coen,Joel Coen,, Hanks,Mark Rylance,Alan Alda,Domenick Lombardozzi,Victor Verhaeghe,Mark Fichera,Brian Hutchison,Joshua Harto,Henny Russell,Rebekah Brockman,John Rue,Billy Magnussen,Amy Ryan,Jillian Lebling,Noah Schnapp
?,The Revenant,2015,7,8.0,156,,,,,,Alejandro G. Iñárritu,,,Alejandro G. Iñárritu,Michael Punke,,Leonardo DiCaprio,Tom Hardy,Will Poulter,Domhnall Gleeson,Forrest Goodluck,Paul Anderson,Kristoffer Joner,Joshua Burge,Duane Howard,Melaw Nakehk'o,Fabrice Adde,Arthur RedCloud,Christopher Rosamond,Robert Moloney,Lukas Haas
