,Movie,Date,Rating,Year,Director,Writer,Cast
0,LOOK WHO___S BACK,27/10/2019,8,2015,David Wnendt,"David Wnendt, Mizzi Meyer","Oliver Masucci, Thomas M. Köppl, Marc-Marvin Israel, David Gebigke, Paul Busche, Fabian Busch, Gerdy Zint, Nancy Maria Brüning, Lars Rudolph, Franziska Wulf, Christoph Maria Herbst, Thomas Thieme, Katja Riemann, Michael Ostrowski, Christoph Zrenner"
1,SHAWSHANK REDEMPTION,03/11/2019,8,1994,Frank Darabont,"Stephen King, Frank Darabont","Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown, Gil Bellows, Mark Rolston, James Whitmore, Jeffrey DeMunn, Larry Brandenburg, Neil Giuntoli, Brian Libby, David Proval, Joseph Ragno, Jude Ciccolella"
2,DARKEST HOUR,09/11/2019,7,2017,Joe Wright,Anthony McCarten,"Gary Oldman, Kristin Scott Thomas, Ben Mendelsohn, Lily James, Ronald Pickup, Stephen Dillane, Nicholas Jones, Samuel West, David Schofield, Richard Lumsden, Malcolm Storry, Hilton McRae, Benjamin Whitrow, Joe Armstrong, Adrian Rawlins"
3,THE INFORMANT!,17/11/2019,7,2009,Steven Soderbergh,"Scott Z. Burns, Kurt Eichenwald","Matt Damon, Lucas McHugh Carroll, Eddie Jemison, Rusty Schwimmer, Craig Ricci Shaynak, Tom Papa, Rick Overton, Melanie Lynskey, Thomas F. Wilson, Scott Bakula, Scott Adsit, Ann Dowd, Allan Havey, Howie Johnson, Joel McHale"
4,TRAIN TO BUSAN,24/11/2019,7,2016,Sang-ho Yeon,"Joo-Suk Park, Sang-ho Yeon","Gong Yoo, Yu-mi Jung, Ma Dong-seok, Su-an Kim, Eui-sung Kim, Woo-sik Choi, Sohee, Soo-jung Ye, Myung-shin Park, Gwi-hwa Choi, Seok-yong Jeong, Jang Hyuk-jin, Seong-soo Han, Do-im Woo, Hye-Yeong Moon"
5,KNIVES OUT,01/12/2019,8,2019,Rian Johnson,Rian Johnson,"Daniel Craig, Chris Evans, Ana de Armas, Jamie Lee Curtis, Michael Shannon, Don Johnson, Toni Collette, LaKeith Stanfield, Christopher Plummer, Katherine Langford, Jaeden Martell, Riki Lindhome, Edi Patterson, Frank Oz, K Callan"
6,COHERENCE,04/12/2019,6,2013,James Ward Byrkit,"James Ward Byrkit, James Ward Byrkit","Emily Baldoni, Maury Sterling, Nicholas Brendon, Lorene Scafaria, Elizabeth Gracen, Hugo Armstrong, Alex Manugian, Lauren Maher, Aqueela Zoll, Carrie Patterson, Kelly Donovan, Alexis Boozer Sterling, Mark Ballou"
7,THE IRISHMAN,15/12/2019,8,2019,Martin Scorsese,"Steven Zaillian, Charles Brandt","Robert De Niro, Al Pacino, Joe Pesci, Harvey Keitel, Ray Romano, Bobby Cannavale, Anna Paquin, Stephen Graham, Stephanie Kurtzuba, Jack Huston, Kathrine Narducci, Jesse Plemons, Domenick Lombardozzi, Paul Herman, Gary Basaraba"
8,FRACTURE,21/12/2019,8,2007,Gregory Hoblit,"Daniel Pyne, Glenn Gers","Anthony Hopkins, Ryan Gosling, David Strathairn, Rosamund Pike, Embeth Davidtz, Billy Burke, Cliff Curtis, Fiona Shaw, Bob Gunton, Josh Stamberg, Xander Berkeley, Zoe Kazan, Judith Scott, Gary Carlos Cervantes, Petrea Burchard"
9,THE GENTLEMEN,01/01/2020,8,2019,Guy Ritchie,"Guy Ritchie, Ivan Atkinson","Matthew McConaughey, Charlie Hunnam, Michelle Dockery, Jeremy Strong, Lyne Renée, Colin Farrell, Henry Golding, Tom Wu, Chidi Ajufo, Hugh Grant, Simon R. Barker, Eddie Marsan, Jason Wong, John Dagleish, Jordan Long"
10,Inside man,04/01/2020,7,2006,Spike Lee,Russell Gewirtz,"Denzel Washington, Clive Owen, Jodie Foster, Christopher Plummer, Willem Dafoe, Chiwetel Ejiofor, Carlos Andrés Gómez, Kim Director, James Ransone, Bernie Rachelle, Peter Gerety, Victor Colicchio, Cassandra Freeman, Peter Frechette, Gerry Vichi"
11,SNOWPIERCER,05/01/2020,9,2013,Bong Joon Ho,"Jacques Lob, Benjamin Legrand","Chris Evans, Kang-ho Song, Ed Harris, John Hurt, Tilda Swinton, Jamie Bell, Octavia Spencer, Ewen Bremner, Ko Asung, Alison Pill, Luke Pasqualino, Vlad Ivanov, Adnan Haskovic, Emma Levie, Steve Park"
