,level_0,index,cast,cast_count,jk_score_mean,jk_score,movie,rank,rank_m,cast_m_count
0,45,45,Matt Damon,11,7.5,"7, 7, 7, 9, 9, 6, 7, 8, 8, 7, 8","The Informant!, True Grit, The Rainmaker, The Departed, Ford V Ferrari, Contagion, The Bourne Identity, The Talented Mr. Ripley, Stillwater, Air, Oppenheimer",1,4.0,8.0
1,175,175,Brad Pitt,11,7.2,"7, 5, 7, 8, 9, 7, 7, 7, 8, 6, 8","Ad Astra, World War Z, Moneyball, The Assassination Of Jesse James By The Coward Robert Ford, Sleepers, Spy Game, Killing Them Softly, Burn After Reading, The Curious Case Of Benjamin Button, Bullet Train, Babylon",2,1.0,10.0
2,119,119,Ryan Gosling,10,7.8,"8, 9, 7, 8, 8, 8, 9, 6, 7, 8","Fracture, La La Land, Nice Guys, The Ides Of March, Drive, The Gray Man, The Place Beyond The Pines, Only God Forgives, Barbie, Crazy Stupid Love",3,3.0,8.0
3,614,614,Philip Seymour Hoffman,10,7.0,"5, 5, 8, 8, 7, 8, 7, 7, 8, 7","The Hunger Games: Mockingjay Part I, The Hunger Games: Mockingjay Part Ii, The Ides Of March, The Big Lebowski, Moneyball, Magnolia, 25Th Hour, The Master, The Talented Mr. Ripley, A Most Wanted Man",4,2.0,10.0
4,1439,1439,Bradley Cooper,9,7.1,"7, 7, 8, 6, 9, 7, 7, 8, 5","A Star Is Born, American Hustle, War Dogs, Nightmare Alley, The Place Beyond The Pines, Thor: Love And Thunder, Guardians Of The Galaxy, Guardians Of The Galaxy Vol.3, Maestro",5,20.0,6.0
5,523,523,Woody Harrelson,9,6.7,"7, 5, 5, 8, 8, 9, 5, 6, 7","The Hunger Games: Catching Fire, The Hunger Games: Mockingjay Part I, The Hunger Games: Mockingjay Part Ii, No Country For Old Men, Seven Pounds, Three Billboards Outside Ebbing Missouri, The Highwaymen, Austin Powers: The Spy Who Shagged Me, Triangle Of Sadness",6,6.0,8.0
6,103,103,Robert De Niro,8,7.8,"8, 8, 6, 7, 9, 7, 9, 8","The Irishman, Heat, 15 Minutes, The Untouchables, Sleepers, Taxi Driver, The Godfather Part 2, Amsterdam",7,7.0,7.0
7,3443,3443,Dave Bautista,8,7.6,"9, 7, 8, 6, 7, 8, 7, 9","Dune, Thor: Love And Thunder, Glass Onion, Escape Plan: The Extractors, Guardians Of The Galaxy, Guardians Of The Galaxy Vol.3, Knock At The Cabin, Dune Part 2",8,292.0,2.0
8,2828,2828,Oscar Isaac,8,7.5,"8, 8, 8, 9, 6, 7, 7, 7","Ex Machina, Drive, The Card Counter, Dune, The Two Faces Of January, Inside Llewyn Davis, A Most Violent Year, Body Of Lies",9,5.0,8.0
9,306,306,Josh Brolin,8,7.2,"7, 7, 8, 6, 6, 6, 9, 9","True Grit, Sicario, No Country For Old Men, Sicario Day Of The Soldado, Everest, Oldboy (Us), Dune, Dune Part 2",10,9.0,7.0
10,615,615,Julianne Moore,8,7.2,"5, 5, 8, 8, 7, 8, 9, 8","The Hunger Games: Mockingjay Part I, The Hunger Games: Mockingjay Part Ii, The Big Lebowski, Kingsman: The Golden Circle, Non-Stop, Magnolia, Children Of Men, Crazy Stupid Love",11,10.0,7.0
11,104,104,Al Pacino,7,8.1,"8, 8, 9, 9, 8, 8, 7","The Irishman, Heat, The Godfather, The Godfather Part 2, The Godfather Part 3, Devil’S Advocate, Two For The Money",12,14.0,6.0
